root_id,region,nt_type
720575940606947970,central_complex,ACH
720575940606967730,central_complex,ACH
720575940606968450,central_complex,ACH
720575940606973570,central_complex,GLUT
720575940606979970,optic_lobe,GLUT
720575940607000450,central_complex,ach
720575940607014530,central_complex,GLUT
720575940607015260,antennal_lobe,ach
720575940607017090,optic_lobe,GLUT
720575940607018370,optic_lobe,ACH
720575940607033010,optic_lobe,ACH
720575940607042690,central_complex,ACH
720575940607047810,optic_lobe,ACH
720575940607054210,optic_lobe,ACH
720575940607054770,central_complex,ACH
720575940607063730,optic_lobe,ach
720575940607068290,optic_lobe,GLUT
720575940607099010,optic_lobe,GABA
720575940607107970,optic_lobe,ACH
720575940607124610,optic_lobe,GABA
720575940607131570,optic_lobe,ACH
720575940607136130,optic_lobe,GLUT
720575940607155890,central_complex,ACH
720575940607167580,optic_lobe,ACH
720575940607194290,optic_lobe,ACH
720575940607199580,optic_lobe,GABA
720575940607204530,optic_lobe,ACH
720575940607205980,optic_lobe,ach
720575940607207810,optic_lobe,GLUT
720575940607208540,optic_lobe,ACH
720575940607209820,optic_lobe,ACH
720575940607210370,optic_lobe,ACH
720575940607212380,optic_lobe,ACH
720575940607218780,optic_lobe,ach
720575940607225010,central_complex,GLUT
720575940607227010,optic_lobe,ACH
720575940607237250,optic_lobe,ACH
720575940607237810,central_complex,ACH
720575940607253170,central_complex,GABA
720575940607253340,optic_lobe,ACH
720575940607257730,optic_lobe,GLUT
720575940607265410,optic_lobe,ACH
720575940607268530,optic_lobe,ACH
720575940607278210,optic_lobe,ACH
720575940607280770,central_complex,GABA
720575940607284610,optic_lobe,ACH
720575940607286450,optic_lobe,GLUT
720575940607287170,optic_lobe,ACH
720575940607287730,optic_lobe,ACH
720575940607293570,antennal_lobe,ACH
720575940607301810,optic_lobe,ach
720575940607303090,optic_lobe,GABA
720575940607314050,optic_lobe,GABA
720575940607329410,optic_lobe,ACH
720575940607334530,optic_lobe,GLUT
720575940607342210,optic_lobe,ACH
720575940607344770,optic_lobe,ACH
720575940607346050,optic_lobe,GLUT
720575940607365910,optic_lobe,GLUT
720575940607369650,optic_lobe,ACH
720575940607378050,antennal_lobe,SER
720575940607386290,central_complex,ACH
720575940607388850,optic_lobe,ACH
720575940607417180,central_complex,GLUT
720575940607420850,optic_lobe,ACH
720575940607424690,optic_lobe,ACH
720575940607427250,optic_lobe,GLUT
720575940607430530,optic_lobe,ach
720575940607445170,optic_lobe,ACH
720575940607446620,central_complex,ACH
720575940607448450,optic_lobe,ACH
720575940607451570,optic_lobe,ACH
720575940607469490,optic_lobe,ACH
720575940607472050,optic_lobe,ACH
720575940607473330,optic_lobe,ACH
720575940607475330,optic_lobe,ACH
720575940607489970,optic_lobe,ACH
720575940607506050,optic_lobe,ach
720575940607508610,optic_lobe,ACH
720575940607509170,optic_lobe,GABA
720575940607509890,optic_lobe,ach
720575940607511900,central_complex,DA
720575940607513730,optic_lobe,ACH
720575940607520690,optic_lobe,ach
720575940607523350,optic_lobe,GLUT
720575940607527090,optic_lobe,ACH
720575940607527810,optic_lobe,ach
720575940607528370,optic_lobe,ACH
720575940607529090,optic_lobe,ach
720575940607529130,antennal_lobe,ach
720575940607543730,optic_lobe,ACH
720575940607560370,optic_lobe,GABA
720575940607561540,ventral_cord,ACH
720575940607589250,optic_lobe,ACH
720575940607591810,optic_lobe,ACH
720575940607593090,optic_lobe,GLUT
720575940607597660,central_complex,ACH
720575940607607170,optic_lobe,ACH
720575940607612290,optic_lobe,ach
720575940607621980,optic_lobe,GLUT
720575940607637340,antennal_lobe,ach
720575940607641010,ventral_cord,ach
720575940607643570,optic_lobe,GABA
720575940607650690,optic_lobe,ACH
720575940607658930,optic_lobe,ACH
720575940607660930,optic_lobe,ach
720575940607673730,optic_lobe,GLUT
720575940607685700,central_complex,GLUT
720575940607687260,central_complex,ACH
720575940607688370,optic_lobe,ach
720575940607696770,optic_lobe,ACH
720575940607700060,optic_lobe,GLUT
720575940607715420,central_complex,ACH
720575940607730780,optic_lobe,ACH
720575940607733170,optic_lobe,ACH
720575940607756930,optic_lobe,ACH
720575940607772290,optic_lobe,ACH
720575940607774850,central_complex,GLUT
720575940607777410,optic_lobe,GABA
720575940607805020,central_complex,ACH
720575940607808130,antennal_lobe,ach
720575940607811420,antennal_lobe,SER
720575940607824050,antennal_lobe,ACH
720575940607845250,optic_lobe,ACH
720575940607853490,optic_lobe,GABA
720575940607856220,optic_lobe,GLUT
720575940607856770,optic_lobe,GLUT
720575940607865180,antennal_lobe,ACH
720575940607867570,antennal_lobe,ach
720575940607870130,optic_lobe,ACH
720575940607870850,optic_lobe,ACH
720575940607875420,optic_lobe,ACH
720575940607900850,antennal_lobe,GLUT
720575940607907970,antennal_lobe,GLUT
720575940607908700,optic_lobe,GLUT
720575940607910980,ventral_cord,ach
720575940607918770,optic_lobe,GABA
720575940607925170,optic_lobe,ACH
720575940607927170,antennal_lobe,ach
720575940607929730,antennal_lobe,GLUT
720575940607934300,optic_lobe,ach
720575940607944260,central_complex,ACH
720575940607950770,optic_lobe,GLUT
720575940607958990,antennal_lobe,GLUT
720575940607962290,optic_lobe,ACH
720575940607965570,antennal_lobe,GABA
720575940607969410,antennal_lobe,ach
720575940607974530,optic_lobe,GLUT
720575940607978820,central_complex,ACH
720575940607985330,optic_lobe,ACH
720575940607986050,optic_lobe,ACH
720575940607987330,optic_lobe,ACH
720575940607989170,antennal_lobe,ACH
